coral_id,wax1_weight_g,wax2_weight_g,wax_diff,SA_coral,SA_cal,notes...7,notes...8
45,23.6,25.21,1.61,81.25,67.46642087,NA,NA
46,37.93,39.79,1.87,93.09,74.26905056,NA,NA
47,33.19,35.07,1.88,93.64,74.53069016,NA,NA
48,20.93,22.07,1.15,60,55.43099911,NA,NA
49,45.5,48.25,2.75,133.87,97.29333567,NA,NA
50,32.03,33.64,1.61,81.06,67.46642087,NA,NA
55,35.06,37.38,2.32,114.01,86.04283272,NA,NA
56,29.57,31.45,1.87,93.46,74.26905056,NA,NA
58,42.11,44.69,2.58,126.09,92.84546241,NA,NA
59,14.44,15.04,0.59,34.47,40.77918132,NA,NA
61,27.36,28.76,1.4,71.57,61.9719892,tank1 small wound,NA
62,49.76,53.11,3.35,161.34,112.9917119,NA,NA
63,32.24,34.11,1.87,93.18,74.26905056,NA,NA
64,39.97,42.25,2.27,111.8,84.7346347,NA,NA
65,19.97,20.88,0.91,49.08,49.15164863,NA,NA
67,30.98,32.68,1.7,85.3,69.8211773,NA,NA
69,33.32,34.94,1.62,81.57,67.72806047,NA,NA
71,32.82,34.53,1.71,85.95,70.0828169,NA,NA
72,23.44,24.7,1.26,64.98,58.30903475,NA,NA
74,30.14,32.28,2.14,105.58,81.33331985,NA,NA
75,40.48,43.04,2.56,124.89,92.3221832,NA,NA
76,21.43,23.35,1.91,95.16,75.31560897,NA,NA
77,25.95,27.35,1.4,71.71,61.9719892,NA,NA
78,37.3,39.89,2.59,126.5,93.10710201,NA,NA
79,28.53,30.05,1.51,76.78,64.85002484,NA,NA
80,26.07,27.58,1.51,76.59,64.85002484,NA,NA
81,26.59,28.04,1.44,73.55,63.01854761,NA,NA
83,19.81,19.81,0,7.01,25.34244471,NA,NA
84,24.04,25.43,1.39,71.15,61.71034959,NA,NA
85,19.26,20.11,0.86,46.5,47.84345061,NA,NA
86,27.65,29.31,1.66,83.78,68.77461889,NA,NA
87,24,25.38,1.38,70.79,61.44870999,#NAME?,NA
88,26.87,28.34,1.47,75.03,63.80346642,NA,NA
89,20.51,21.68,1.18,61.29,56.21591792,NA,NA
90,27.98,29.66,1.68,84.43,69.29789809,-122?,NA
91,16.77,17.53,0.76,41.98,45.22705457,NA,NA
95,32.41,34.08,1.67,84.24,69.03625849,NA,NA
96,18.75,19.52,0.77,42.54,45.48869418,NA,NA
97,34.53,36.55,2.02,100.33,78.19364461,NA,NA
98,29.46,31.28,1.81,90.56,72.69921294,NA,NA
99,18.78,19.53,0.75,41.62,44.96541497,NA,NA
100,16.8,17.57,0.77,42.77,45.48869418,NA,NA
101,28.74,30.2,1.46,74.2,63.54182682,#NAME?,NA
102,20.55,21.62,1.07,56.55,53.33788228,NA,NA
103,14.59,25.83,11.24,524.93,319.425359,NA,NA
104,23.27,24.62,1.35,69.45,60.66379118,NA,NA
105,29.13,31.04,1.92,95.44,75.57724858,NA,NA
106,26.42,28.93,2.51,122.58,91.01398518,NA,NA
107,19.46,20.43,0.97,51.8,50.72148625,NA,NA
108,32.03,34.36,2.33,114.29,86.30447232,NA,NA
109,21.6,22.55,0.95,50.83,50.19820704,NA,NA
110,34.23,36.9,2.67,130.19,95.20021884,NA,NA
111,21.47,22.42,0.95,50.88,50.19820704,NA,NA
112,16.87,17.89,1.02,54.06,52.02968426,NA,NA
113,31.48,33.03,1.55,78.57,65.89658325,NA,NA
114,14,14.54,0.54,31.94,39.4709833,NA,NA
115,42.54,45.33,2.78,135.3,98.07825448,NA,NA
116,23.33,24.54,1.22,63.18,57.26247633,NA,NA
117,19.87,20.67,0.8,43.97,46.27361299,NA,NA
118,18.76,19.67,0.91,49.27,49.15164863,NA,NA
119,26.42,27.76,1.33,68.57,60.14051197,NA,NA
120,32.55,34.77,2.22,109.45,83.42643668,NA,NA
121,25.14,26.99,1.84,92.08,73.48413175,NA,NA
122,32.8,34.59,1.79,89.63,72.17593373,NA,NA
123,21.33,22.27,0.93,50.19,49.67492783,NA,NA
124,33.07,35.03,1.97,97.74,76.88544659,NA,NA
125,20.8,21.71,0.91,49.08,49.15164863,"fell off in bleach; could be 129,120,76,112,128,108",NA
126,21.84,22.84,1.01,53.46,51.76804466,"fell off in bleach; could be 129,120,76,112,128,108",NA
127,32.49,34.4,1.91,95.12,75.31560897,"fell off in bleach; could be 129,120,76,112,128,108",NA
128,16.98,18.12,1.14,59.68,55.16935951,"fell off in bleach; could be 129,120,76,112,128,108",NA
129,13.52,14.37,0.85,46.04,47.58181101,"fell off in bleach; could be 129,120,76,112,128,108",NA
130,23.46,24.48,1.02,54.2,52.02968426,"fell off in bleach; could be 129,120,76,112,128,108",NA
