coral_id,date_collected,date_fragment,fish,wound,tank,wound_close,necrosis,SA_cal,notes
45,20240808,20240808,1,2,1,yes,no,67.46642,tank 1 all wounds closed
46,20240808,20240808,1,0,3,NA,no,74.26905,
47,20240808,20240809,0,1,6,yes,no,74.53069,
48,20240808,20240808,1,1,1,yes,no,55.431,
49,20240808,20240808,0,0,2,NA,no,97.29334,
50,20240808,20240808,0,2,6,no - barely,no,67.46642,
55,20240808,20240808,0,1,2,yes,no,86.04283,
56,20240808,20240808,1,2,3,no,no,74.26905,
58,20240808,20240808,0,2,2,no,no,92.84546,
59,20240808,20240808,0,2,2,yes,yes,40.77918,
61,20240808,20240808,1,1,1,yes,no,61.97199,
62,20240808,20240808,1,1,1,yes,no,112.9917,
63,20240808,20240808,1,0,5,NA,no,74.26905,63 subbed out 70
64,20240808,20240808,0,0,4,NA,no,84.73463,
65,20240808,20240808,0,2,6,yes,no,49.15165,
67,20240808,20240808,0,0,2,NA,no,69.82118,
69,20240808,20240808,0,2,4,no,yes,67.72806,
71,20240808,20240808,0,2,4,no-barely,no,70.08282,
72,20240808,20240808,1,1,3,yes,no,58.30903,72 subbed out 51
74,20240808,20240808,1,0,5,NA,no,81.33332,74 subbed out 52
75,20240808,20240808,1,2,5,yes,yes,92.32218,
76,20240808,20240808,0,1,6,no,no,75.31561,
77,20240808,20240808,1,0,3,NA,no,61.97199,
78,20240808,20240808,0,0,2,NA,no,93.1071,
79,20240808,20240808,0,2,6,yes,no,64.85002,
80,20240808,20240808,0,1,6,yes,no,64.85002,
81,20240808,20240808,1,0,3,NA,no,63.01855,
83,20240808,20240808,0,0,6,NA,no,25.34244,
84,20240808,20240808,0,0,4,NA,yes,61.71035,
85,20240808,20240808,0,0,4,NA,no,47.84345,
86,20240808,20240808,0,0,6,NA,no,68.77462,
87,20240808,20240808,0,1,6,yes,no,61.44871,
88,20240808,20240808,0,0,2,NA,no,63.80347,
89,20240808,20240808,0,1,2,yes,no,56.21592,53 subbed out 82
90,20240808,20240808,1,0,1,NA,no,69.2979,
91,20240808,20240808,1,1,5,yes,no,45.22705,57 is now 91
95,20240808,20240809,0,1,2,no,no,69.03626,this is the right 95
96,20240808,20240809,1,1,1,yes,yes,45.48869,
97,20240808,20240809,0,2,4,yes,no,78.19364,
98,20240808,20240809,0,0,6,NA,no,72.69921,
99,20240808,20240809,1,2,5,yes,no,44.96541,
100,20240808,20240809,1,1,5,yes,no,45.48869,
101,20240808,20240809,1,1,5,yes,no,63.54183,
102,20240808,20240809,1,0,5,NA,yes,53.33788,
103,20240808,20240809,0,2,4,no,no,319.4254,
104,20240808,20240809,0,1,4,no-barely,no,60.66379,
105,20240808,20240809,0,1,4,no,no,75.57725,
106,20240808,20240809,1,1,3,no,no,91.01399,
107,20240808,20240809,1,2,1,yes,no,50.72149,
108,20240808,20240809,1,0,1,NA,yes,86.30447,
109,20240808,20240809,1,2,1,yes,no,50.19821,
110,20240808,20240809,1,2,5,yes,no,95.20022,
111,20240808,20240809,0,2,2,no,no,50.19821,
112,20240808,20240809,0,0,4,NA,no,52.02968,
113,20240808,20240809,1,2,3,yes,no,65.89658,
114,20240808,20240808,1,1,3,yes,no,39.47098,
115,20240808,20240809,0,1,2,yes,no,98.07825,
116,20240808,20240809,1,1,5,yes,yes,57.26248,
117,20240808,20240809,0,0,6,NA,no,46.27361,
118,20240808,20240809,1,0,1,NA,no,49.15165,
119,20240808,20240809,1,2,5,no,yes,60.14051,
120,20240808,20240809,1,0,5,NA,no,83.42644,
121,20240808,20240809,0,2,2,no,yes,73.48413,
122,20240808,20240809,1,1,3,yes,no,72.17593,
123,20240808,20240809,1,2,3,no,yes,49.67493,
124,20240808,20240809,0,1,4,no,no,76.88545,
125,20240808,20240809,1,0,3,NA,no,49.15165,
126,20240808,20240809,1,2,1,yes,no,51.76804,
127,20240808,20240809,1,2,3,yes,no,75.31561,
128,20240808,20240808,1,0,1,NA,no,55.16936,128 subbed out 89
129,20240808,20240808,0,1,4,yes,yes,47.58181,129 subbed out 47
130,20240808,20240809,0,2,6,yes,no,52.02968,
