ID,length_cm,diameter_cm,radius_cm,Weight_1,Weight_2,Weight_3,wax_weight_diff,pir^2,2pir*length,calculated_sa
1,6.3,2.5,1.25,,36.034,37.366,1.332,15.405625,49.455,64.860625
6,4,2.65,1.325,,37.981,39.038,1.057,17.30976025,33.284,50.59376025
10,4,2.3,1.15,,29.725,30.484,0.759,13.039321,28.888,41.927321
4,6.3,2.5,1.25,,22.219,23.469,1.25,15.405625,49.455,64.860625
7,4.8,2.3,1.15,,35.162,36,0.838,13.039321,34.6656,47.704921
5,6,2.2,1.1,,29.392,30.266,0.874,11.930116,41.448,53.378116
8,2.7,2.2,1.1,,38.478,38.95,0.472,11.930116,18.6516,30.581716
9,4.2,2.2,1.1,,37.885,38.565,0.68,11.930116,29.0136,40.943716
3,2.5,2.2,1.1,,10.208,10.699,0.491,11.930116,17.27,29.200116
11,3.1,1.6,0.8,,6.876,7.261,0.385,6.310144,15.5744,21.884544
12,2.1,4,2,,2.73,2.886,0.156,39.4384,26.376,65.8144
13,3.6,1.3,0.65,,14.161,14.524,0.363,4.165681,14.6952,18.860881
